,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
185,X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,6.9,52,445616,69.0
186,Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",100,6.6,33,278501,66.0
187,Cloverfield,2008,PG-13,"['Action', ' Adventure', ' Horror']",85,7.0,64,408514,70.0
188,Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,7.8,70,866151,78.0
189,Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",97,7.4,69,291055,74.0
190,Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,868945,71.0
191,Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.4,44,711932,64.0
192,The Day the Earth Stood Still,2008,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,5.5,40,174077,55.0
193,Masters of the Universe,1987,PG,"['Action', ' Adventure', ' Fantasy']",106,5.3,35,42394,53.0
194,Planet of the Apes,1968,G,"['Adventure', ' Sci-Fi']",112,8.0,79,185195,80.0
195,Finch,2021,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,6.9,57,88696,69.0
196,Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,7.0,41,421159,70.0
197,The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,61,505005,66.0
198,Iron Man 2,2010,PG-13,"['Action', ' Sci-Fi']",124,6.9,57,836443,69.0
199,Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,436142,67.0
200,Knowing,2009,PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,6.2,41,240325,62.0
201,Mighty Morphin Power Rangers: Once & Always,2023,TV-Y7-FV,"['Action', ' Adventure', ' Family']",55,5.7,62,5395,57.0
202,Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,74,300247,78.0
203,Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.0,68,251662,70.0
204,Men in Black 3,2012,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.8,58,372828,68.0
205,Bird Box,2018,R,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51,358553,66.0
206,The League of Extraordinary Gentlemen,2003,PG-13,"['Action', ' Adventure', ' Fantasy']",110,5.8,30,179586,58.0
207,The Lego Movie,2014,PG,"['Animation', ' Action', ' Adventure']",100,7.7,83,368828,77.0
208,Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,175402,61.0
209,John Carter,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,6.6,51,278734,66.0
210,Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.4,83,671917,74.0
211,The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,6.6,61,128532,66.0
212,Ender's Game,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,246455,66.0
213,Howard the Duck,1986,PG,"['Action', ' Adventure', ' Comedy']",110,4.7,28,48938,47.0
214,Life,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",104,6.6,54,239648,66.0
215,The Running Man,1987,R,"['Action', ' Sci-Fi', ' Thriller']",101,6.7,45,158881,67.0
216,Justice League,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",120,6.1,45,462861,61.0
217,Melancholia,2011,R,"['Drama', ' Sci-Fi']",135,7.1,81,188066,71.0
218,12 Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,8.0,74,629219,80.0
219,Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",124,5.9,44,111188,59.0
220,The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,342881,65.0
221,The Giver,2014,PG-13,"['Drama', ' Romance', ' Sci-Fi']",97,6.4,47,122081,64.0
222,Strange Days,1995,R,"['Crime', ' Drama', ' Sci-Fi']",145,7.2,66,75338,72.0
223,Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,7.7,63,238857,77.0
224,The Circle,2017,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",110,5.3,43,96155,53.0
225,Lilo & Stitch,2002,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,73,199530,73.0
226,Robots,2005,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,64,154031,64.0
227,Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",125,3.7,28,259507,37.0
228,Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",132,6.0,48,190374,60.0
229,Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.5,56,74543,65.0
230,The World's End,2013,R,"['Action', ' Comedy', ' Sci-Fi']",109,6.9,81,288864,69.0
231,Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,537263,70.0
232,Mad Max,1979,R,"['Action', ' Adventure', ' Sci-Fi']",88,6.8,73,213225,68.0
233,Transformers: Dark of the Moon,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.2,42,417838,62.0
234,Pitch Black,2000,R,"['Action', ' Horror', ' Sci-Fi']",109,7.0,49,246832,70.0
235,X-Men: First Class,2011,PG-13,"['Action', ' Sci-Fi']",131,7.7,65,704563,77.0
236,Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,565021,76.0
237,RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,267293,76.0
238,In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,6.7,53,422799,67.0
239,Vanilla Sky,2001,R,"['Fantasy', ' Mystery', ' Romance']",136,6.9,45,275878,69.0
240,Blade,1998,R,"['Action', ' Horror', ' Sci-Fi']",120,7.1,47,284318,71.0
241,Barbarella,1968,Approved,"['Adventure', ' Comedy', ' Fantasy']",98,5.8,51,36179,58.0
242,Back to the Future Part II,1989,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,57,547845,78.0
243,The Amazing Spider-Man 2,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,6.6,53,512326,66.0
244,Doctor Strange,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",115,7.5,72,765109,75.0
245,I Am Legend,2007,PG-13,"['Action', ' Drama', ' Horror']",101,7.2,65,779551,72.0
246,Monsters,2010,R,"['Adventure', ' Drama', ' Romance']",94,6.4,63,94600,64.0
247,They Live,1988,R,"['Action', ' Horror', ' Sci-Fi']",94,7.2,55,136006,72.0
248,A.I. Artificial Intelligence,2001,PG-13,"['Drama', ' Sci-Fi']",146,7.2,65,314630,72.0
249,Sunshine,2007,R,"['Sci-Fi', ' Thriller']",107,7.2,64,256978,72.0
250,DC League of Super-Pets,2022,PG,"['Animation', ' Action', ' Adventure']",105,7.1,56,69240,71.0
